headline,publication_date,section_name
"Theatre event was cancelled, leaving us out of pocket",2014-12-18 07:00:04+00:00,Money
LA Fitness imposed a price rise not mentioned in any promotional material,2014-03-03 07:00:02+00:00,Money
Money Talks: house prices soar and Barclays Isa holders suffer,2014-08-07 14:04:59+00:00,Money
"House prices level off after 18 months of consecutive rises, says Hometrack",2014-09-26 05:00:03+00:00,Money
Miliband energy price freeze pledge is hitting investment – RWE npower boss,2014-01-22 09:16:38+00:00,Money
"Monthly house prices for June drop 0.6%, Halifax reports",2014-07-09 08:39:57+00:00,Money
"UK house prices up 10% in year to July, says Halifax",2014-08-06 08:32:02+00:00,Money
When the 'best' online hotel prices prove to be the worst,2014-05-31 06:00:47+00:00,Money
Why the UK's food prices aren't so high after all,2014-07-26 06:00:00+00:00,Money
Money Talks: banks take a view on Scotland and property prices level,2014-09-11 11:15:22+00:00,Money
House prices won't collapse yet: not with so many frustrated buyers waiting,2014-08-16 23:05:25+00:00,Money
"Sainsbury’s Bank to offer low-rate unsecured loan up to £35,000",2014-10-17 12:30:04+00:00,Money
Vince Cable: rising house prices destabilising economy,2014-05-19 11:22:43+00:00,Money
My 12-point plan to cool house prices,2014-05-24 06:00:36+00:00,Money
Average UK house price rose 8.4% in 2013 after December surge,2014-01-03 12:42:14+00:00,Money
UK house prices rise by 1.9% in February,2014-04-15 12:00:01+00:00,Money
How India proved to be the jewel in the crown for investors in 2014,2014-12-20 06:59:02+00:00,Money
Ups and downs of booking a flight in advance,2014-09-16 06:00:03+00:00,Money
Landline prices rise by 38% in five years,2014-04-11 11:39:46+00:00,Money
"House prices jump 3.9% in May, adding £7,000 to average",2014-06-05 18:52:00+00:00,Money
O2 hiking airtime prices – despite Ofcom ruling,2014-05-09 06:00:02+00:00,Money
UK house prices rose by 0.1% in July - the smallest increase in 15 months,2014-07-31 07:16:01+00:00,Money
Labour and transport campaigners step up rail fares fight as prices rise again,2014-08-18 23:03:00+00:00,Money
London house prices in April see record 4.2% rise,2014-05-30 11:09:24+00:00,Money
"How to find cheap petrol – at just £1 a litre
",2014-10-25 06:00:21+00:00,Money
"Property prices unaffected by windfarms, says CEBR",2014-03-29 07:00:00+00:00,Money
How house prices compare with pre-crisis levels around the regions,2014-07-02 14:39:00+00:00,Money
Average house prices stall as rise in sale of £1m-plus properties continues,2014-07-28 14:42:30+00:00,Money
How to save money on an engagement ring,2014-11-22 07:00:08+00:00,Money
Ukraine tensions driving up UK fuel prices,2014-04-29 20:18:37+00:00,Money
Occupy activists abolish $3.85m in Corinthian Colleges students' loan debt,2014-09-17 14:57:21+00:00,Money
Bank of England governor warns of a bubble as UK house prices rise 10.5%,2014-07-15 16:42:00+00:00,Money
London's soaring house prices make a long commute a little more attractive,2014-07-04 23:01:00+00:00,Money
Average water bill could rise by £30 under proposed industry settlement,2014-08-29 16:00:58+00:00,Money
"Energy bills are higher on dual-fuel deals, new research finds",2014-09-23 10:02:00+00:00,Money
House prices: eight in 10 homes out of reach of families on average wages,2014-06-25 06:00:19+00:00,Money
"This passageway in south London just sold for £260,000",2014-10-28 18:08:09+00:00,Money
Nationwide and Halifax agree: house prices are growing fast,2014-04-07 15:08:15+00:00,Money
118 118 fined for lack of clarity over pricing,2014-04-03 09:11:00+00:00,Money
The price of PPI: what the banks have set aside to pay for mis-selling,2014-02-03 13:51:09+00:00,Money
Insurance body calls for 'easy comparison' renewal quotes,2014-07-10 06:00:05+00:00,Money
To recline or not to recline: which side are you on?,2014-08-27 20:24:20+00:00,Money
"Asking house prices in London have risen by £80,000 since January",2014-05-19 09:27:24+00:00,Money
Scottish Power to cut prices by 3.3%,2014-01-05 19:01:28+00:00,Money
