Date,Open,High,Low,Close,Adj_Close,Volume,USD_Index,CPI,Yield_10Y,headline_count,avg_sentiment,std_sentiment
2014-08-12,1306.2,1315.8,1305.8,1308.8,1308.8,438,81.5,237.46,2.46,1,0.2023,0.0
2014-08-13,1308.8,1312.8,1305.0,1312.8,1312.8,238,81.6,237.46,2.43,0,0.0,0.0
2014-08-14,1311.8,1316.4,1309.7,1313.9,1313.9,320,81.59,237.46,2.4,0,0.0,0.0
2014-08-15,1311.7,1312.8,1292.0,1304.5,1304.5,199,81.42,237.46,2.34,0,0.0,0.0
2014-08-18,1301.4,1302.1,1295.7,1297.7,1297.7,100,81.58,237.46,2.39,1,-0.3818,0.0
2014-08-19,1298.8,1301.6,1294.0,1295.1,1295.1,144,81.88,237.46,2.4,1,0.0258,0.0
2014-08-20,1295.4,1295.8,1288.4,1293.4,1293.4,332,82.25,237.46,2.43,1,0.0,0.0
2014-08-21,1290.0,1290.0,1272.0,1273.7,1273.7,264,82.15,237.46,2.41,1,0.0,0.0
2014-08-22,1276.0,1280.0,1275.0,1278.6,1278.6,119,82.34,237.46,2.4,1,-0.5267,0.0
2014-08-25,1277.3,1277.6,1273.7,1277.3,1277.3,251,82.55,237.46,2.39,0,0.0,0.0
2014-08-26,1289.4,1289.5,1281.1,1283.8,1283.8,74,82.65,237.46,2.39,2,0.2202,0.3114098264345555
2014-08-27,1281.5,1282.3,1281.5,1281.9,1281.9,783,82.43,237.46,2.37,1,0.0,0.0
2014-08-28,1284.5,1293.7,1284.3,1288.7,1288.7,817,82.48,237.46,2.34,0,0.0,0.0
2014-08-29,1289.5,1289.7,1284.8,1285.8,1285.8,116,82.75,237.46,2.35,2,0.0,0.0
2014-09-02,1284.5,1286.4,1262.5,1263.7,1263.7,280,82.99,237.46,2.42,0,0.0,0.0
2014-09-03,1266.3,1271.1,1263.1,1268.9,1268.9,279,82.87,237.46,2.41,0,0.0,0.0
2014-09-04,1268.7,1272.7,1260.4,1265.1,1265.1,290,83.82,237.46,2.45,0,0.0,0.0
2014-09-05,1263.2,1268.1,1263.2,1265.8,1265.8,123,83.76,237.46,2.46,0,0.0,0.0
2014-09-08,1268.4,1268.4,1252.7,1252.7,1252.7,2,84.23,237.46,2.48,1,0.0,0.0
2014-09-09,1246.8,1246.8,1246.8,1246.8,1246.8,-,84.28,237.46,2.5,0,0.0,0.0
2014-09-10,1256.7,1256.7,1243.5,1243.5,1243.5,95,84.25,237.46,2.54,0,0.0,0.0
2014-09-11,1237.4,1237.4,1237.4,1237.4,1237.4,-,84.3,237.46,2.54,1,0.0,0.0
2014-09-12,1227.0,1229.9,1227.0,1229.9,1229.9,47,84.24,237.46,2.62,0,0.0,0.0
2014-09-15,1226.7,1235.0,1226.7,1233.6,1233.6,21,84.26,237.46,2.6,1,0.0,0.0
2014-09-16,1238.3,1238.3,1235.2,1235.2,1235.2,3,84.07,237.46,2.6,1,0.0,0.0
2014-09-17,1236.2,1236.2,1221.9,1234.4,1234.4,10,84.7,237.46,2.62,1,-0.3612,0.0
2014-09-18,1216.2,1225.7,1216.2,1225.7,1225.7,5,84.32,237.46,2.63,1,0.0,0.0
2014-09-19,1218.3,1218.3,1215.3,1215.3,1215.3,4,84.8,237.46,2.59,0,0.0,0.0
2014-09-22,1214.9,1216.8,1212.4,1216.8,1216.8,7,84.67,237.46,2.57,0,0.0,0.0
2014-09-23,1221.0,1221.0,1221.0,1221.0,1221.0,5,84.66,237.46,2.54,1,0.2732,0.0
2014-09-24,1218.6,1218.6,1216.8,1218.6,1218.6,2,85.05,237.46,2.57,1,-0.1531,0.0
2014-09-25,1209.5,1221.2,1209.5,1221.2,1221.2,11,85.2,237.46,2.52,0,0.0,0.0
2014-09-26,1214.1,1214.1,1214.1,1214.1,1214.1,"19,497",85.64,237.46,2.54,3,0.0910666666666666,0.1577320935426057
2014-09-29,1216.3,1222.2,1214.8,1217.5,1217.5,"6,344",85.59,237.46,2.5,0,0.0,0.0
2014-09-30,1214.8,1218.2,1204.0,1210.5,1210.5,680,85.94,237.46,2.52,1,0.1779,0.0
2014-10-01,1207.7,1217.8,1205.5,1214.6,1214.6,178,85.97,237.43,2.42,0,0.0,0.0
2014-10-02,1215.3,1219.5,1210.3,1214.2,1214.2,176,85.6,237.43,2.44,0,0.0,0.0
2014-10-03,1212.4,1212.4,1191.0,1192.2,1192.2,499,86.69,237.43,2.45,0,0.0,0.0
2014-10-06,1187.7,1208.0,1182.8,1206.7,1206.7,415,85.71,237.43,2.43,0,0.0,0.0
2014-10-07,1209.1,1211.7,1205.3,1211.7,1211.7,272,85.67,237.43,2.36,1,-0.6486,0.0
2014-10-08,1210.2,1217.9,1205.3,1205.3,1205.3,9,85.3,237.43,2.35,1,0.3818,0.0
2014-10-09,1223.9,1229.0,1223.9,1224.6,1224.6,19,85.52,237.43,2.34,1,-0.2732,0.0
2014-10-10,1223.5,1223.5,1217.0,1221.0,1221.0,186,85.91,237.43,2.31,0,0.0,0.0
2014-10-13,1229.8,1234.0,1227.0,1229.3,1229.3,103,85.43,237.43,2.31,0,0.0,0.0
2014-10-14,1235.9,1235.9,1233.6,1233.6,1233.6,73,85.82,237.43,2.21,2,0.21075,0.2980455082701297
2014-10-15,1243.7,1247.0,1243.7,1244.1,1244.1,250,85.15,237.43,2.15,0,0.0,0.0
2014-10-16,1242.1,1243.0,1236.7,1240.5,1240.5,6,85.0,237.43,2.17,2,-0.1806,0.2554069693645809
2014-10-17,1237.4,1238.3,1232.6,1238.3,1238.3,356,85.19,237.43,2.22,1,-0.3818,0.0
2014-10-20,1237.3,1244.0,1235.4,1244.0,1244.0,105,84.95,237.43,2.2,1,0.0,0.0
2014-10-21,1251.0,1251.0,1251.0,1251.0,1251.0,48,85.31,237.43,2.23,0,0.0,0.0
2014-10-22,1244.8,1244.8,1244.8,1244.8,1244.8,2,85.74,237.43,2.25,0,0.0,0.0
2014-10-23,1228.0,1228.5,1227.9,1228.5,1228.5,2,85.84,237.43,2.29,1,0.0,0.0
2014-10-24,1229.4,1232.7,1229.4,1231.2,1231.2,71,85.73,237.43,2.29,0,0.0,0.0
2014-10-27,1230.2,1230.2,1227.3,1229.1,1229.1,282,85.5,237.43,2.27,1,-0.296,0.0
2014-10-28,1224.9,1231.0,1224.7,1229.2,1229.2,46,85.41,237.43,2.3,2,0.0,0.0
2014-10-29,1224.3,1224.3,1224.3,1224.3,1224.3,631,85.95,237.43,2.34,0,0.0,0.0
2014-10-30,1213.7,1214.7,1195.8,1198.1,1198.1,521,86.15,237.43,2.32,3,0.1272666666666666,0.2204323327765991
2014-10-31,1199.6,1199.7,1161.4,1171.1,1171.1,260,86.88,237.43,2.35,0,0.0,0.0
2014-11-03,1166.4,1172.3,1163.1,1169.4,1169.4,60,87.31,237.43,2.36,2,0.2202,0.3114098264345555
2014-11-04,1166.9,1171.0,1165.0,1167.4,1167.4,40,86.98,237.43,2.35,0,0.0,0.0
2014-11-05,1168.1,1168.7,1137.8,1145.4,1145.4,157,87.44,237.43,2.36,0,0.0,0.0
2014-11-06,1141.1,1147.5,1137.9,1142.3,1142.3,137,88.01,237.43,2.39,3,-0.2612333333333333,0.2264578180000269
2014-11-07,1139.9,1169.7,1133.0,1169.6,1169.6,97,87.64,237.43,2.32,0,0.0,0.0
2014-11-10,1171.0,1171.0,1150.7,1159.6,1159.6,40,87.81,237.43,2.38,2,-0.03785,0.0535279833358216
2014-11-11,1155.0,1170.5,1151.6,1162.8,1162.8,22,87.53,237.43,2.38,0,0.0,0.0
2014-11-12,1162.5,1168.1,1157.5,1158.9,1158.9,17,87.82,237.43,2.37,0,0.0,0.0
2014-11-13,1163.7,1164.5,1155.0,1161.1,1161.1,"1,047",87.67,237.43,2.35,0,0.0,0.0
2014-11-14,1155.2,1191.0,1148.0,1185.0,1185.0,486,87.53,237.43,2.32,0,0.0,0.0
2014-11-17,1183.1,1186.9,1180.6,1183.0,1183.0,17,87.93,237.43,2.34,0,0.0,0.0
2014-11-18,1197.1,1197.1,1193.9,1196.7,1196.7,2,87.58,237.43,2.32,0,0.0,0.0
2014-11-19,1196.5,1198.3,1190.6,1193.6,1193.6,23,87.65,237.43,2.36,0,0.0,0.0
2014-11-20,1191.8,1191.9,1190.7,1190.7,1190.7,3,87.59,237.43,2.34,1,0.85,0.0
2014-11-21,1191.0,1202.4,1189.0,1197.5,1197.5,20,88.31,237.43,2.31,2,0.0,0.0
2014-11-24,1197.7,1197.9,1195.5,1195.5,1195.5,17,88.15,237.43,2.3,0,0.0,0.0
2014-11-25,1197.1,1197.1,1197.1,1197.1,1197.1,"210,753",87.92,237.43,2.27,1,0.0,0.0
2014-11-26,1200.5,1201.0,1193.7,1196.6,1196.6,"75,297",87.61,237.43,2.24,0,0.0,0.0
2014-11-28,1197.0,1198.2,1163.8,1175.2,1175.2,"11,175",88.36,237.43,2.18,1,0.5719,0.0
2014-12-01,1160.0,1220.4,1141.7,1218.0,1218.0,"5,524",87.95,236.252,2.22,1,0.0,0.0
2014-12-02,1212.3,1212.3,1191.3,1199.2,1199.2,"1,236",88.65,236.252,2.28,0,0.0,0.0
